"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","J.T. Realmuto",28,145,593,538,92,148,36,3,25,83,9,1,41,123,0.275,0.328,0.493,0.82,108,265,12,5,0,8,2,0.339294915254237,94.5250777561342
2,"1B","Rhys Hoskins",26,160,705,570,86,129,33,5,29,85,2,2,116,173,0.226,0.364,0.454,0.819,110,259,10,11,0,6,6,0.35109756097561,103.61013293324
3,"2B","Cesar Hernandez#",29,161,667,612,77,171,31,3,14,71,9,2,45,100,0.279,0.333,0.408,0.741,91,250,9,6,0,4,4,0.315819004524887,76.454557862213
4,"SS","Jean Segura",29,144,618,576,79,161,37,4,12,60,10,2,30,73,0.28,0.323,0.42,0.743,90,242,11,8,1,3,1,0.312787337662338,74.1209403517772
5,"3B","Maikel Franco",26,123,428,389,48,91,17,0,17,56,0,0,36,61,0.234,0.297,0.409,0.705,80,159,14,0,0,3,19,0.310413202933985,72.2934564541705
6,"LF","Andrew McCutchen",32,59,262,219,45,56,12,1,10,29,2,1,43,55,0.256,0.378,0.457,0.834,115,100,1,0,0,0,0,0.35592748091603,107.327950971298
7,"CF","Scott Kingery",25,126,500,458,64,118,34,4,19,55,15,4,34,147,0.258,0.315,0.474,0.788,100,217,3,5,1,2,1,0.327829317269076,85.6994641782329
8,"RF","Bryce Harper*",26,157,682,573,98,149,36,1,35,114,15,3,99,178,0.26,0.372,0.51,0.882,125,292,10,6,0,4,11,0.374538002980626,121.653350870868
9,"OF","Adam Haseley*",23,67,242,222,30,59,14,0,5,26,4,0,14,60,0.266,0.324,0.396,0.72,85,88,7,5,1,0,1,0.308304166666667,70.6700313924142
